"track","question","option1","option2","option3","option4","correctAnswer","mark","time(seconds)"
"Cybersecurity Quiz","What is 'phishing'?","A type of malware","A fishing technique","A fraudulent attempt to steal sensitive information by impersonation","A network protocol","A fraudulent attempt to steal sensitive information by impersonation","3.3","30"
"Cybersecurity Quiz","Which of the following is the strongest password?","password123","P@ssw0rd!2024","123456","qwerty","P@ssw0rd!2024","3.3","30"
"Cybersecurity Quiz","What does 'VPN' stand for?","Virtual Private Network","Verified Public Network","Virtual Public Node","Visual Private Network","Virtual Private Network","3.3","30"
"Cybersecurity Quiz","What is the purpose of a firewall?","To block all internet traffic","To monitor and control incoming/outgoing network traffic","To encrypt data","To store backups","To monitor and control incoming/outgoing network traffic","3.3","30"
"Cybersecurity Quiz","What is 'ransomware'?","Software to encrypt files for backup","Malware that demands payment to restore access to data","A type of antivirus","A secure communication tool","Malware that demands payment to restore access to data","3.3","30"
"Cybersecurity Quiz","Which protocol provides secure communication over a network?","HTTP","FTP","HTTPS","SMTP","HTTPS","3.3","30"
"Cybersecurity Quiz","What is 'two-factor authentication' (2FA)?","Using two passwords","A security method requiring two forms of verification","A type of malware","A backup technique","A security method requiring two forms of verification","3.3","30"
"Cybersecurity Quiz","What does 'SSL/TLS' encrypt?","Only emails","Data transmitted over networks","Local hard drives","USB devices","Data transmitted over networks","3.3","30"
"Cybersecurity Quiz","Which of these is a common social engineering attack?","DDoS attack","Brute force attack","Pretexting","SQL injection","Pretexting","3.3","30"
"Cybersecurity Quiz","What is 'DDoS' short for?","Distributed Denial of Service","Direct Data over Signal","Digital Data on Server","Dynamic Domain of Security","Distributed Denial of Service","3.3","30"
"Cybersecurity Quiz","Which tool is used to detect vulnerabilities in a network?","Wireshark","Nmap","Metasploit","All of the above","All of the above","3.3","30"
"Cybersecurity Quiz","What is the primary goal of 'encryption'?","To compress data","To make data unreadable without a key","To speed up network traffic","To backup files","To make data unreadable without a key","3.3","30"
"Cybersecurity Quiz","What is 'zero-day exploit'?","A bug fixed within a day","An attack targeting a previously unknown vulnerability","A type of antivirus","A secure coding practice","An attack targeting a previously unknown vulnerability","3.3","30"
"Cybersecurity Quiz","Which of these is NOT a type of malware?","Spyware","Adware","Firewall","Trojan","Firewall","3.3","30"
